Project #,Project Title,Research Focus Area,Research Program,Administering IC(s),Institution(s),Investigator(s),Location(s),Year Awarded,Summary
1K24AR081143-01,Mentorship of Junior Investigators on HEAL-SKOAP,Clinical Research in Pain Management,NA,NIAMS,JOHNS HOPKINS UNIVERSITY,"Campbell, Claudia Michelle","Baltimore, MD",2021,"The HEAL-funded Sequenced-strategy for Improving Outcomes in People with Knee Osteoarthritis Pain (SKOAP) clinical trial evaluates behavioral, pharmacologic, and procedural interventions for patients with knee osteoarthritis pain. It is designed to mimic clinical care for these patients by first testing the effectiveness of conservative and nonsurgical interventions before considering surgical interventions. It is a large-scale clinical trial with a novel design that evaluates multidisciplinary treatments. Therefore, it offers a unique training opportunity for junior investigators from various disciplines who are interested in pain research and management. This mentoring award will allow a selected investigator to train junior investigators by providing protected, mentorship-focused time."
1U01DA055350-01,7/24 Healthy Brain and Child Development National Consortium,Enhanced Outcomes for Infants and Children Exposed to Opioids,HEALthy Brain and Child Development Study (HBCD),NIDA,JOHNS HOPKINS UNIVERSITY,"VOLK, HEATHER E (contact); PEKAR, JAMES J; SATIN, ANDREW J","Baltimore, MD",2021,"The HEALthy Brain and Child Development National Consortium (HBCD-NC) will establish a normative model of developmental trajectories over the first 10 years of life. All sites in the HBCD-NC will carry out a common research protocol and will assemble and distribute a comprehensive research dataset to the scientific community. The HBCD-NC will collect neural, behavioral, physiological, and psychological measures, as well as biospecimens, to characterize neurodevelopmental trajectories. Most participants will be recruited in the second trimester of pregnancy, with a smaller subset recruited at birth, and followed for the first 10 years of life. This study will be conducted at Johns Hopkins University in Baltimore, Maryland, and researchers will recruit diverse participants from a range of backgrounds."
1R61HL156248-01,Intranasal Leptin as A Novel Treatment of Opioid-Induced Respiratory Depression,Novel Therapeutic Options for Opioid Use Disorder and Overdose,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,NHLBI,JOHNS HOPKINS UNIVERSITY,"POLOTSKY, VSEVOLOD Y","Baltimore, MD",2020,no summary
1RF1AG068997-01,Subchondral Bone Cavities in Osteoarthritis Pain,Preclinical and Translational Research in Pain Management,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,NINDS,JOHNS HOPKINS UNIVERSITY,"CAO, XU; GUAN, YUN","Baltimore, MD",2020,"A key marker of inflammation in Osteoarthritis (OA) is accompanied by significantly increased sensory innervation within the diseased joint. This study aims to validate the hypothesis that defective bone resorbing cells are responsible for the enlarged bone cavity, giving rise to the inflammatory marker causing further increases in levels sensory innervation and resulting in increased OA pain perception."
3R01MH115840-02S1,Social Networks among Native American caregivers participating in an evidence-based and culturally informed intergenerational intervention,New Strategies to Prevent and Treat Opioid Addiction,Preventing Opioid Use Disorder,NIMH,JOHNS HOPKINS UNIVERSITY,"BROCKIE, TERESA","Baltimore, MD",2020,"American Native (AN) communities experience high rates of trauma that compromise the mental health of parents and caregivers that in turn increases their children?s risk for suicide and substance use during adolescence and young adulthood. Without intervention, this intergenerational cycle may repeat. The goal of this study is to understand opioid use, suicide, and the social network characteristics of Fort Peck Assiniboine and Sioux parents and caregivers to determine how the social network of parents/adult caregivers are related to both risk for and protection from suicide and opioid use. This supplement will examine the effectiveness of a community health worker delivered, culturally tailored prevention intervention called Wa?Kan Ye?Zah on caregiver and child behavioral and mental health outcomes and assess the benefits of culturally enhancing the intervention for caregivers? well-being."
1UG3NS115108-01A1,Home-based transcutaneous electrical acustimulation for abdominal pain,Preclinical and Translational Research in Pain Management,Translating Discoveries into Effective Devices to Treat Pain,NINDS,JOHNS HOPKINS UNIVERSITY,"CHEN, JIANDE","Baltimore, MD",2020,"Currently, there are no adequate therapies for abdominal pain in patients with Irritable Bowel Syndrome (IBS), a gastrointestinal disorder affecting 14-20% of the US population. More than 40% of IBS patients regularly use opioid narcotics. An alternative treatment for IBS that has been shown to be an effective pain management strategy is electroacupuncture. However its drawbacks include infrequent administration, unclear mechanistic understanding, and lack of methodology optimization. This study will use a noninvasive method of transcutaneous electrical acustimulation (TEA) by replacing needles with surface electrodes and testing acupoints that target peripheral nerves. Based on prior mechanistic and clinical studies, two stimulation parameters and effective acupoints will be tested. In the UG3 phase, the TEA device and a cell phone app will be optimized for use in IBS abdominal pain, and an acute clinical study will determine the best stimulation locations and parameters. During the UH3 phase, an early feasibility clinical study will be performed in 160 IBS patients in treating abdominal pain. Participants will self-administer the therapy at home/work and will be randomized across four treatment groups to determine the therapeutic potential of the TEA system."
1UG3AR077360-01,A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Clinical Research in Pain Management,Pain Management Effectiveness Research Network (ERN),NIAMS,JOHNS HOPKINS UNIVERSITY,"COHEN, STEVEN P (contact); CAMPBELL, CLAUDIA MICHELLE; CASTILLO, RENAN C","Baltimore, MD",2019,"The goal of this proposal is to conduct a randomized controlled trial to evaluate the comparative effectiveness of conservative behavioral and nonopioid pharmacological treatments (Phase I) and, among nonresponders, the benefits of nonsurgical procedural interventions (Phase II). Aim 1 will evaluate the effectiveness of individual and combined online cognitive behavioral therapy (painTRAINER) and pharmacologic treatment (duloxetine) in improving pain and function for knee osteoarthritis (KOA) patients compared with standard of care. Aim 2 will determine if genicular nerve radiofrequency ablation or intra-articular injection of hyaluronic acid and steroid is more effective in improving outcomes than local anesthetic nerve block or standard of care and help establish the role of these interventional treatments in the overall management of pain in KOA patients. Aim 3 will test whether clinical and psychosocial phenotypes predict short- and long-term treatment response."
1R01DK123138-01,Validation of peripheral CGRP signaling as a target for the treatment of pain in chronic pancreatitis,Preclinical and Translational Research in Pain Management,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,NIDDK,JOHNS HOPKINS UNIVERSITY,"PASRICHA, PANKAJ J","Baltimore, MD",2019,"Chronic pancreatitis (CP) and the debilitating pain associated with it remains a common and challenging clinical syndrome that is difficult to treat effectively. Using rodent models of CP, preliminary studies have found that nerve growth factor (NGF) and transforming growth factor beta (TGFb) appear to be acting by the common effector, calcitonin-gene related peptide (CGRP), to induce pain in CP. CGRP is known to mediate pain as a neurotransmitter in the central nervous system, specifically as a potent vasodilator involved in migraine. This project will test the hypothesis that peripheral CGRP is a major mediator of peripheral nociceptive sensitization in CP, and that peripherally restricted anti-CGRP treatment could provide an efficient and sufficient approach for the treatment of pain in pancreatitis"
1R34DA050292-01,HEALthy ORCHARD: Developing plans for a Baltimore site of the HEALthy BCD study,Enhanced Outcomes for Infants and Children Exposed to Opioids,HEALthy Brain and Child Development Study (HBCD),NIDA,JOHNS HOPKINS UNIVERSITY,"FALLIN, M DANIELE","Baltimore, MD",2019,"Researchers will expand a recently initiated pregnancy cohort at Johns Hopkins University (JHU) called ORCHARD (ORigins of Child Health And Resilience in Development) to create a Baltimore HEALthy BCD site, named HEALthy ORCHARD. The research team will convene investigators at JHU and the Kennedy Krieger Institute (KKI), and community partners across nine work groups to: (1) develop protocols for recruitment and retention of pregnant mothers and children with enriched sampling of pregnant women who are using substances; (2) establish community, medical, and government partnerships necessary to implement recruitment, retention, data collection and community benefits; (3) characterize the critical ethical and legal challenges raised during study design, in pilot studies, and by prospective participants, and propose solutions where possible and additional research where necessary; (4) develop protocols for longitudinal data collection across pregnancy and childhood; and (5) contribute to multi-site protocol development and nationally relevant principles regarding ethical and legal issues."
1UG3NS115718-01,Development of MRGPRX1 positive allosteric modulators as non-addictive therapies for neuropathic pain,Preclinical and Translational Research in Pain Management,Development and Optimization of Non-Addictive Therapies to Treat Pain,NINDS,JOHNS HOPKINS UNIVERSITY,"TSUKAMOTO, TAKASHI","Baltimore, NC",2019,"Although opioid-based analgesics have been proven effective in reducing the intensity of pain for many neuropathic pain conditions, their clinical utility is grossly limited due to the substantial risks involved in such therapy, including nausea, constipation, physical dependence, tolerance, and respiratory depression. Cumulative evidence suggests that human Mas-related G protein-coupled receptor X1 (MRGPRX1) is a promising target for pain with limited side effects due to its restricted expression in nociceptors within the peripheral nervous system; however, direct activation of MRGPRX1 at peripheral terminals is expected to induce itch side effects, limiting the therapeutic utility of orthosteric MRGPRX1 agonists. This finding led to the exploration of positive allosteric modulators (PAMs) of MRGPRX1 to potentiate the effects of the endogenous agonists at the central terminals of sensory neurons without activating peripheral MRGPRX1. An intrathecal injection of a prototype MRGPRX1 PAM, ML382, effectively attenuated evoked, persistent, and spontaneous pain without causing itch side effects. The goal of this study is to develop a CNS-penetrant small-molecule MRGPRX1 PAM that can be given orally to treat neuropathic pain conditions."
3UG1DA013034-20S2,"DC Research Infrastructure Building &amp; Initiative to Reach, Engage, and Retain in MOUD Patients with OUD",Translation of Research to Practice for the Treatment of Opioid Addiction,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,NIDA,JOHNS HOPKINS UNIVERSITY,"BIGELOW, GEORGE; SCHWARTZ, ROBERT P","Baltimore, MD",2019,"The opioid overdose epidemic is increasingly affecting urban, poor and predominantly minority populations in the U.S., including Washington, D.C., as indicated by rapidly increasing overdoses clustered in medically underserved, economically disadvantaged, largely African American areas of the District and many of the nation’s other largest cities. This study seeks to (1) develop, implement and conduct a preliminary evaluation of an integrated, community-based collaborative care model, employing peer recovery coaches and telepsychiatry services, to improve utilization and effectiveness of MOUD in Federally Qualified Health Centers (FQHCs) and (2) use a community-based participatory research approach to develop, implement and conduct a preliminary evaluation of outreach, engagement and recovery support interventions in nontraditional community settings (e.g., grassroots community groups, churches or religious organizations, soup kitchens, black barber shops or nail or hair salons)."
1U01HL150835-01,Evaluating the Role of the Orexin System in Circadian Rhythms of Sleep and Stress in Persons on Medication-Assisted Treatments for Opioid Use Disorder,New Strategies to Prevent and Treat Opioid Addiction,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,NHLBI,Johns Hopkins University,"HUHN, ANDREW S (contact); FINAN, PATRICK","Baltimore, MD",2019,"For individuals with moderate to severe opioid use disorder (OUD), medication-assisted treatments (MATs) such as oral methadone and extended-release naltrexone (XR-NTX) are the gold standard in initiating and maintaining long-term recovery. Still, many patients struggle with persistent sleep disturbance and stress reactivity in the early stages of recovery, which drive relapse behaviors. This proposal constitutes a novel mechanistic approach to understanding the role of the orexin system in sleep disturbance and circadian rhythms of stress in OUD patients who are maintained on MATs and are early in recovery. This study will determine whether the FDA-approved sleep medication suvorexant (SUVO) improves sleep continuity and decreases diurnal measures of stress, and whether improvement of sleep/stress processes translates to improved OUD treatment outcomes. Its findings will fill critical gaps in our understanding of the role of the orexin system in sleep disturbance and circadian rhythms of stress that impact OUD recovery."
1U01HL150568-01,"Effects of experimental sleep disruption and fragmentation on cerebral Mu-opioid receptor function, Mu-opioid receptor agonist analgesia, and abuse liability.",New Strategies to Prevent and Treat Opioid Addiction,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,NHLBI,Johns Hopkins University,"Smith, Michael T","Baltimore, MD",2019,"Chronic pain and opioid use disorders (OUD) are burgeoning interrelated epidemics. Sleep disturbances are prevalent, treatable, and increasingly recognized as risk factors for both chronic pain and OUD. Sleep disruption impairs endogenous pain inhibition, linked to analgesic efficacy and rewarding properties of mu-opioid receptor (MOR) agonists. It is not known, however, whether sleep disturbance causally alters mechanisms that contribute to OUD risk. Sleep continuity disruption (SCD) and/or sleep fragmentation (SF) may alter cerebral MOR availability, and these forms of sleep disruption may increase OUD risk. This study aims to 1) evaluate whether experimental SCD and/or SF alter resting or pain-evoked MOR binding potential (BP) in brain regions associated with pain inhibition; 2) examine whether SCD and/or SF alters the analgesic response; and 3) determine whether MOR BP in brain regions of interest are associated with analgesia and abuse liability."
3U24TR001609-04S1,TIN Supplement,Clinical Research in Pain Management,Pain Management Effectiveness Research Network (ERN),NCATS,Johns Hopkins University,"Hanley, Daniel","Baltimore, MD",2019,no summary
3R01DA044184-02S1,DEVELOPMENT &amp; MALLEABILITY FROM CHILDHOOD TO ADULTHOOD,New Strategies to Prevent and Treat Opioid Addiction,Preventing Opioid Use Disorder,NIDA,Johns Hopkins University,"IALONGO, NICHOLAS S","Baltimore, MD",2019,"The Family School Partnership (FSP) and classroom-centered (CC) interventions targeted aggressive-coercive behavior and poor academic achievement as antecedents of the distal outcomes of antisocial behavior, substance abuse/dependence, psychiatric symptoms/disorders, high-risk sexual behavior and successful adaptation to the relevant developmental demands of the educational, work, romantic relationships and family (both family of procreation and origin/orientation) social fields/contexts. The participants of the FSP and CC original prevention trial were a population (n = 798) of urban, predominately African-American young adults, who began first grade in the fall of 1993 in nine elementary schools in predominantly low- to lower-middle-income Baltimore areas. The central purpose of the proposed study is to extend through ages 31-35 an examination of normal and pathogenic development and the impact of these two universal first-grade preventive interventions on the distal targets mentioned above. We will continue to study the role of phenotypic and genetic factors (and their interactions) as well as the impact of the interventions on the development and course of substance use/abuse/dependence, psychiatric symptoms/disorders, antisocial behavior/disorder and high-risk sexual behavior through young adulthood. The knowledge accrued over the course of the proposed assessments should serve to inform the nature, targets and timing of our future preventive intervention efforts."
1RF1NS113883-01,Sympathetic-mediated sensory neuron cluster firing as a novel therapeutic target for neuropathic pain,Preclinical and Translational Research in Pain Management,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,NINDS,JOHNS HOPKINS UNIVERSITY,"DONG, XINZHONG","Baltimore, MD",2019,"An important component of neuropathic pain is spontaneous or ongoing pain, such as burning pain or intermittent paroxysms of sharp and shooting pain, which may result from abnormal spontaneous activity in sensory nerves. However, due to technical limitations, spontaneous activity in sensory neurons in vivo has not been well studied. Using in vivo imaging in genetically-modified mice, preliminary findings identified spontaneously-firing clusters of neurons formed within the dorsal root ganglia (DRG) after traumatic nerve injury that exhibits increased spontaneous pain behaviors. Furthermore, preliminary evidence has been collected that cluster firing may be related to abnormal sympathetic sprouting in the sensory ganglia. This project will test the hypothesis that cluster firing is triggered by abnormal sympathetic inputs to sensory neurons, and that it underpins spontaneous paroxysmal pain in neuropathic pain models. Findings from this project will identify potential novel therapeutic targets for the treatment of neuropathic pain."
3UG1DA013034-19S3,"DC Research Infrastructure Building &amp; Initiative to Reach, Engage, and Retain in MOUD Patients with OUD",Translation of Research to Practice for the Treatment of Opioid Addiction,Enhancing the National Drug Abuse Treatment Clinical Trials Network to Address Opioids,NIDA,Johns Hopkins University,"STITZER, MAXINE L; SCHWARTZ, ROBERT","Baltimore, MD",2019,"The opioid overdose epidemic is increasingly affecting urban, poor and predominantly minority populations in the U.S., including Washington, D.C., as indicated by rapidly increasing overdoses clustered in medically underserved, economically disadvantaged, largely African American areas of the District and many of the nation’s other largest cities. This study seeks to (1) develop, implement and conduct a preliminary evaluation of an integrated, community-based collaborative care model, employing peer recovery coaches and telepsychiatry services, to improve utilization and effectiveness of MOUD in Federally Qualified Health Centers (FQHCs) and (2) use a community-based participatory research approach to develop, implement and conduct a preliminary evaluation of outreach, engagement and recovery support interventions in nontraditional community settings (e.g., grassroots community groups, churches or religious organizations, soup kitchens, black barber shops or nail or hair salons)."
1UG3DA048734-01,Evaluating Suvorexant for Sleep Disturbance in Opioid Use Disorder,Novel Therapeutic Options for Opioid Use Disorder and Overdose,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,NIDA,JOHNS HOPKINS UNIVERSITY,"HUHN, ANDREW S; DUNN, KELLY E.","Baltimore, MD",2019,"A recent FDA public meeting identified sleep disturbance as a primary contributor to opioid use disorder (OUD) treatment failure. Suvorexant (SUVO; Belsomra®) is a dual orexin receptor antagonist that is FDA-approved for insomnia, with low addiction liability, that improves sleep continuity with a single dose, has an extremely safe and mild side-effect profile, has clear interactions with the opioid system, and has not yet been evaluated in OUD patients. The hypothesis is that SUVO will improve total sleep time during withdrawal, have no addiction liability, and be more efficacious than trazodone, a common OUD-associated insomnia medication. Primary outcomes will be objective sleep measures and addiction liability. Secondary measures will include objective, biological, and self-report measures of opioid withdrawal severity, treatment retention, craving, and stress. Results will advance the treatment of OUD, the understanding of sleep and opioids, and the use of SUVO in clinical populations."
3U19MH113136-02S2,UNDERSTANDING THE INTERSECTION BETWEEN OPIOIDS AND SUICIDE THROUGH THE SOUTHWEST HUB,New Strategies to Prevent and Treat Opioid Addiction,NA,NIMH,Johns Hopkins University,"CWIK, MARY; BARLOW, MARY ALLISON","Baltimore, MD",2018,"The parent U19, “Southwest Hub for American Indian Youth Suicide Prevention,” builds capacity among local tribal governments, investigators, interventionists, and service providers across three Southwestern states to: 1) identify at-risk youth and gather robust local data through surveillance; 2) provide regular monitoring and brief interventions to close gaps in continuity of care; and 3) convene regularly for shared learning, policy development, and dissemination of best practices. The parent U19 includes an innovative SMART trial study design. The purpose of this supplement is to gather data on opioid use. Our supplement aims are to: 1) expand suicide surveillance in the Southwest Hub to include opioid use as a potential precipitant, facilitator, and risk factor for subsequent suicidal behavior; 2) explore community beliefs about correlates of risk, protective factors, and behavior functions of opioid abuse in Native American youth; and 3) examine opioid use among SMART trial participants."
3R01MD009063-05S1,ETHNIC DIFFERENCES IN ENDOGENOUS PAIN REGULATION: PET IMAGING OF OPIOID RECEPTORS,Clinical Research in Pain Management,NA,NIMHD,Johns Hopkins University,"CAMPBELL, CLAUDIA MICHELLE","Baltimore, MD",2018,"Ethnic groups show substantial variability in the experience of acute and clinical pain, with African Americans (AAs) having more clinical pain conditions and higher levels of pain severity and pain-related disability compared to non-Hispanic whites (NHW). Ethnic differences in opioid neurotransmitters suggest that these systems function less efficiently among AAs and may account for differences in pain and analgesic responses. The overwhelming majority of clinically used opioids elicit their effects through activation of the mu-opioid receptor, making it a relevant target for investigation. We propose to examine ethnic differences in the supraspinal endogenous opioid system using positron emission tomography (PET) imaging of mu-opioid receptors employing the mu-selective agonist [11C]carfentanil. Healthy AAs and sex-, age-, SES-matched NHW participants will undergo one baseline (non-pain) and one capsaicin-induced pain PET session using [11C]carfentanil. The current proposal will measure µ-opioid binding potential and examine its role in ethnic group differences in pain sensitivity."
